Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
HNI,HNI Corporation,31.67,$1.35B,n/a,Consumer Durables,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/hni
HMLP,Hoegh LNG Partners LP,10.8,$359.49M,2014,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/hmlp
HMLP^A,Hoegh LNG Partners LP,24.14,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hmlp^a
HEP,"Holly Energy Partners, L.P.",15.21,$1.6B,2004,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/hep
HFC,HollyFrontier Corporation,25.35,$4.11B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/hfc
HD,"Home Depot, Inc. (The)",280.68,$301.88B,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/hd
HMC,"Honda Motor Company, Ltd.",25.02,$43.2B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/hmc
HON,Honeywell International Inc.,156.17,$109.6B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/hon
HMN,Horace Mann Educators Corporation,38.34,$1.59B,1991,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hmn
HZN,Horizon Global Corporation,5.77,$148.82M,2015,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/hzn
HTFA,Horizon Technology Finance Corporation,25.234,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/htfa
HRL,Hormel Foods Corporation,52.55,$28.32B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/hrl
HST,"Host Hotels & Resorts, Inc.",10.74,$7.57B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hst
HLI,"Houlihan Lokey, Inc.",58.42,$4.06B,2015,Finance,Investment Managers,https://old.nasdaq.com/symbol/hli
HOV,Hovnanian Enterprises Inc,33.5,$205.41M,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/hov
HHC,Howard Hughes Corporation (The),56.44,$3.1B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hhc
HWM,Howmet Aerospace Inc.,16.94,$7.39B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hwm
HPQ,HP Inc.,18.15,$25.95B,n/a,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/hpq
HPX.U,HPX Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/hpx.u
HSBC,HSBC Holdings plc,21.72,$88.47B,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/hsbc
HSBC^A,HSBC Holdings plc,26.29,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hsbc^a
HMI,Huami Corporation,13.62,$843.75M,2018,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/hmi
HNP,"Huaneng Power International, Inc.",19.6,$7.69B,1994,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/hnp
HUBB,Hubbell Inc,143.05,$7.76B,2015,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/hubb
HUBS,"HubSpot, Inc.",287.2,$13.09B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/hubs
HBM,Hudbay Minerals Inc.,4.3,$1.12B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/hbm
HUD,Hudson Ltd.,7.48,$691.44M,2018,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/hud
HPP,"Hudson Pacific Properties, Inc.",22.9,$3.51B,2010,Finance,Real Estate,https://old.nasdaq.com/symbol/hpp
HUM,Humana Inc.,413.96,$54.76B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/hum
HCFT,"Hunt Companies Finance Trust, Inc.",2.515,$62.73M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hcft
HII,"Huntington Ingalls Industries, Inc.",159.54,$6.46B,n/a,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/hii
HUN,Huntsman Corporation,21.04,$4.64B,2005,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/hun
HUYA,HUYA Inc.,24.59,$5.47B,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/huya
H,Hyatt Hotels Corporation,53.82,$5.44B,2009,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/h
